#this is a comment
#for a word based response keyword1,keyword2,...,keywordN:response|question_word_limit
#for a formula based response keyword1,keyword2,...,keywordN\formula|question_word_limit
#"`" <- acts like a newline for the response
#the following questions made by Emmett Jonke and Benjamin Currie
what,24,cell:a regular polychoron with 24 cells, each being an octahedron|8
what,120,cell:a regular polychoron with 120 cells, each being a dodecahedron|8
what,600,cell:an absolute BEAST of a polychoron. This bad boy hogs all the tetrahedral cells. 600 of them, to be exact|8
what,addition:a process which takes two or more values and finds the combined linear value, or sum|7
what,subtraction:a process which takes two or more values and finds the linear reduction of one value from the other, or difference|7
what,multiplication:a process which adds a given value to itself a number of times equal to another value. The result is called the product|7
what,division:a process which finds the number of times a given value can be added to itself before it equals another value. The result is called the quotient|7
what,sum:the result of addition|7
what,difference:the result of subtraction|7
what,product:the result of multiplication|7
what,quotient:the result of division|7
what,sin:(shortened sine) trigonometric function corresponding to measure of the leg opposite the angle divided by the measure of the hypotenuse|7
what,sine:trigonometric function corresponding to measure of the leg opposite the angle divided by the measure of the hypotenuse|7
what,cos:(shortened cosine) trigonometric function corresponding to measure of the leg adjacent the angle divided by the measure of the hypotenuse|7
what,cosine:trigonometric function corresponding to measure of the leg adjacent the angle divided by the measure of the hypotenuse|7
what,tan:(shortened tangent) trigonometric function corresponding to measure of the leg opposite the angle divided by the measure of the leg adjacent|7
what,tangent:trigonometric function corresponding to measure of the leg opposite the angle divided by the measure of the leg adjacent|7
what,theta:a common symbol for the measure of an angle|7
what,pi:a transcendental number related to the circumference of a circle. Approximates to 3.14159265359|7
what,e:a transcendental number related to exponential growth. Approximates to 2.718281828459045|7
what,tau:a number used by idiots who are incapable of multiplying by two on the fly|7
what,polar,coordinates:a method of representing vectors visually. Defines each vector as an angle (or multiple engles) and a magnitude|8
what,Cartesian,coordinates:a method of representing vectors visually. Defines each vector as a series of distances from an origin|8
what,euclidean,geometry:a mathematical system proposed by Euclid, generally accepted as the simplest geometrical system. Notably, it postulates that parallel lines remain equal distances and never approach or diverge|8
what,eulers,identity\e^(i*theta)=cos(theta)+i*sin(theta)|8
what,linear\m*x+b|8
what,formula,parabola\(x-x1)^2=a*(y-y1)|8
what,focus,parabola\y1+1/(4*a)|8
what,directrix,parabola\y1+1/(-4*a)|8
what,parabola:the curve created when a plane intersects a cone where the plane is parallel to the slope of the cone. This is also the set of points where the distance away from a given point (focus) and given line (directrix) are equal|8
